;URL;Name;Rating;Address
48;;;;Lapangan Bulutangkis · GR8F+GGQBuka 24 jam
49;;;;Lapangan Bulutangkis · GR8F+GGQBuka 24 jam
50;;;;Lapangan Bulutangkis · Gg. Berkah No.88, RT.004/RW.006Buka ⋅ Tutup pukul 00.00 · 0896-3410-7189
51;;;;Lapangan Bulutangkis · Gg. Berkah No.88, RT.004/RW.006Buka ⋅ Tutup pukul 00.00 · 0896-3410-7189
52;;;;Lapangan Bulutangkis · Jl. Raya Tapos No.32Buka ⋅ Tutup pukul 00.00 · 0818-881-043
53;;;;Lapangan Bulutangkis · Jl. Raya Tapos No.32Buka ⋅ Tutup pukul 00.00 · 0818-881-043
54;;;;Lapangan Bulutangkis · Jl. Kp. Setu No.165, RT.02/RW.05Buka ⋅ Tutup pukul 00.00 · 0857-1507-7095
55;;;;Lapangan Bulutangkis · Jl. Kp. Setu No.165, RT.02/RW.05Buka ⋅ Tutup pukul 00.00 · 0857-1507-7095
56;;;;Lapangan Bulutangkis · RT.01/RW.03Buka ⋅ Tutup pukul 00.00 · 0877-8001-4555
57;;;;Lapangan Bulutangkis · RT.01/RW.03Buka ⋅ Tutup pukul 00.00 · 0877-8001-4555
58;;;;Lapangan Bulutangkis · Jl. Tumapel No.28, RT.07/RW.07Buka ⋅ Tutup pukul 00.00 · 0817-9028-354
59;;;;Lapangan Bulutangkis · Jl. Tumapel No.28, RT.07/RW.07Buka ⋅ Tutup pukul 00.00 · 0817-9028-354
60;;;;Lapangan Bulutangkis · CR75+9XW, RT.05/RW.02Buka 24 jam · 0881-0243-04045
61;;;;Lapangan Bulutangkis · CR75+9XW, RT.05/RW.02Buka 24 jam · 0881-0243-04045
62;;;;Lapangan Bulutangkis · CQ86+3C7, Jl. Bougenville Jl. Sela Galih Ciomas RahayuBuka 24 jam
63;;;;Lapangan Bulutangkis · CQ86+3C7, Jl. Bougenville Jl. Sela Galih Ciomas RahayuBuka 24 jam
64;;;;Klub Badminton · FP3H+WF7, Jl. Carang PulangBuka 24 jam · 0858-1051-0788
65;;;;Klub Badminton · FP3H+WF7, Jl. Carang PulangBuka 24 jam · 0858-1051-0788
66;;;;Lapangan Bulutangkis · Jl. Sawojajar No.5, RT.01/RW.04Segera tutup ⋅ 23.00 ⋅ Buka Sen pukul 07.00 · (0251) 8326699
67;;;;Lapangan Bulutangkis · Jl. Sawojajar No.5, RT.01/RW.04Segera tutup ⋅ 23.00 ⋅ Buka Sen pukul 07.00 · (0251) 8326699
68;;;;Lapangan Bulutangkis · GR8F+GGQBuka 24 jam
69;;;;Lapangan Bulutangkis · GR8F+GGQBuka 24 jam
70;;;;Lapangan Bulutangkis · Gg. Berkah No.88, RT.004/RW.006Buka ⋅ Tutup pukul 00.00 · 0896-3410-7189
71;;;;Lapangan Bulutangkis · Gg. Berkah No.88, RT.004/RW.006Buka ⋅ Tutup pukul 00.00 · 0896-3410-7189
72;;;;Lapangan Bulutangkis · Jl. Raya Tapos No.32Buka ⋅ Tutup pukul 00.00 · 0818-881-043
73;;;;Lapangan Bulutangkis · Jl. Raya Tapos No.32Buka ⋅ Tutup pukul 00.00 · 0818-881-043
74;;;;Lapangan Bulutangkis · Jl. Kp. Setu No.165, RT.02/RW.05Buka ⋅ Tutup pukul 00.00 · 0857-1507-7095
75;;;;Lapangan Bulutangkis · Jl. Kp. Setu No.165, RT.02/RW.05Buka ⋅ Tutup pukul 00.00 · 0857-1507-7095
76;;;;Lapangan Bulutangkis · RT.01/RW.03Buka ⋅ Tutup pukul 00.00 · 0877-8001-4555
77;;;;Lapangan Bulutangkis · RT.01/RW.03Buka ⋅ Tutup pukul 00.00 · 0877-8001-4555
78;;;;Lapangan Bulutangkis · Jl. Tumapel No.28, RT.07/RW.07Buka ⋅ Tutup pukul 00.00 · 0817-9028-354
79;;;;Lapangan Bulutangkis · Jl. Tumapel No.28, RT.07/RW.07Buka ⋅ Tutup pukul 00.00 · 0817-9028-354
80;;;;Lapangan Bulutangkis · CR75+9XW, RT.05/RW.02Buka 24 jam · 0881-0243-04045
81;;;;Lapangan Bulutangkis · CR75+9XW, RT.05/RW.02Buka 24 jam · 0881-0243-04045
82;;;;Lapangan Bulutangkis · CQ86+3C7, Jl. Bougenville Jl. Sela Galih Ciomas RahayuBuka 24 jam
83;;;;Lapangan Bulutangkis · CQ86+3C7, Jl. Bougenville Jl. Sela Galih Ciomas RahayuBuka 24 jam
84;;;;Klub Badminton · FP3H+WF7, Jl. Carang PulangBuka 24 jam · 0858-1051-0788
85;;;;Klub Badminton · FP3H+WF7, Jl. Carang PulangBuka 24 jam · 0858-1051-0788
86;;;;Lapangan Bulutangkis · Jl. Sawojajar No.5, RT.01/RW.04Segera tutup ⋅ 23.00 ⋅ Buka Sen pukul 07.00 · (0251) 8326699
87;;;;Lapangan Bulutangkis · Jl. Sawojajar No.5, RT.01/RW.04Segera tutup ⋅ 23.00 ⋅ Buka Sen pukul 07.00 · (0251) 8326699
88;;;;Lapangan Bulutangkis · GR8F+GGQBuka 24 jam
89;;;;Lapangan Bulutangkis · GR8F+GGQBuka 24 jam
