kakot;Shape_Leng;Shape_Area;lat;long
Ende;2.996310774;0.171284971;-8.67649031;121.7354596
Enrekang;2.189365049;0.151054938;-3.50346766;119.877691
Fak Fak;15.71866811;0.800966961;-3.09471762;132.8571596
Flores Timur;4.673806521;0.143554516;-8.36519406;122.9444542
Garut;3.522359691;0.253985107;-7.3595628;107.7879075
Gayo Lues;4.26833748;0.441286422;3.97847705;97.36221218
Gianyar;1.088393871;0.029947609;-8.480995;115.2875222
Gorontalo;3.225413494;0.177262506;0.69318028;122.7148008
Gorontalo Utara;5.215490954;0.138405313;0.88822573;122.6529505
Gowa;3.073037633;0.147248732;-5.30888156;119.7190746
Gresik;4.551701822;0.102430458;-6.92634086;112.5583276
Grobogan;3.198565896;0.16570605;-7.11768592;110.9271559
Gunung Mas;4.364916489;0.757294955;-1.02673437;113.5595343
Gunungkidul;2.496740109;0.121356455;-7.99351619;110.6119247
Halmahera Barat;5.728552142;0.172268327;1.36991656;127.5885369
Halmahera Selatan;27.22975532;0.657846462;-0.827197;127.7051796
Halmahera Tengah;7.409410197;0.184372006;0.40111334;128.2970865
Halmahera Timur;7.445982455;0.530754417;1.02735799;128.3050108
Halmahera Utara;6.724071011;0.285947353;1.53773338;127.8281343
Hulu Sungai Selatan;2.322037948;0.137250972;-2.72956248;115.2078252
Hulu Sungai Tengah;2.419173978;0.149321479;-2.61037243;115.5234723
Hulu Sungai Utara;1.585373463;0.075888896;-2.43793487;115.1481721
Humbang Hasundutan;2.587954387;0.18294146;2.25458767;98.57600154
Indragiri Hilir;7.462092105;1.089626862;-0.23364613;103.1632927
Indragiri Hulu;4.584788897;0.671617907;-0.53113429;102.3300846
Indramayu;3.336163015;0.169565029;-6.4474501;108.1687764
Intan Jaya;5.852300474;0.520117629;-3.51922295;136.8023427
Jayapura;7.849920466;1.086890799;-2.99391544;140.0115729
Jayawijaya;3.067899908;0.207616509;-4.10080022;138.8693511
Jember;4.370727432;0.271298533;-8.23561229;113.6561212
Jembrana;1.645629681;0.069922887;-8.3125848;114.6823274
Jeneponto;2.217286371;0.06509366;-5.56689108;119.698682
Jepara;2.963219663;0.083442582;-6.54913762;110.7681288
Jombang;2.073330863;0.090958084;-7.54468236;112.2640584
Kaimana;22.59151256;1.378634845;-3.59093313;134.0356481
Kampar;7.735763859;0.858146798;0.32609044;101.0629768
Kapuas;9.490735905;1.387267248;-1.77105682;114.3024067
Kapuas Hulu;10.18610853;2.553082773;0.82968552;112.8111568
Karanganyar;1.971620048;0.065805161;-7.61416172;111.0192545
Karangasem;1.506408897;0.068860844;-8.37433776;115.529969
Karawang;2.94117692;0.156377754;-6.25235349;107.3542961
Karimun;9.484159398;0.075668303;0.82548129;103.5313375
Karo;2.840013154;0.176345277;3.11951224;98.29622591
Katingan;9.49617575;1.642757869;-1.67818292;113.0673094
Kaur;2.958881963;0.213149096;-4.61093038;103.4128316
Kayong Utara;6.883527672;0.335907806;-1.1052402;109.8784829
Kebumen;1.987590997;0.109293807;-7.65498941;109.6173458
Kediri;2.707703002;0.125212107;-7.82897167;112.0895493
Keerom;7.709850148;0.737947582;-3.35280916;140.6937769
Kendal;2.313612296;0.082510104;-7.0387058;110.1573254
Kepahiang;1.331000751;0.060888304;-3.62747246;102.6438966
Kepulauan Anambas;11.46355781;0.051318979;3.08747847;106.0644055
Kepulauan Aru;34.33603201;0.661609946;-6.19664739;134.4509536
Kepulauan Mentawai;14.7684008;0.486603758;-1.85057414;99.33771661
Kepulauan Meranti;5.547361475;0.294441926;1.00327126;102.6493301
Kepulauan Sangihe;4.821908433;0.049499286;3.56395092;125.5436406
Kepulauan Selayar;7.321173675;0.096583372;-6.5604052;120.724583
Kepulauan Siau Tagulandang Biaro;1.955330637;0.017744443;2.53922358;125.3967202
Kepulauan Sula;5.374209417;0.144571998;-1.96382816;125.8396951
Kepulauan Talaud;3.583144888;0.082424133;4.22585359;126.7810693
Kepulauan Tanimbar;15.45220903;0.363020268;-7.5848019;131.3673913
Kepulauan Yapen;8.553935105;0.197425926;-1.74548533;136.1741563
Kerinci;3.202196483;0.277410698;-2.03422883;101.4684655
Ketapang;13.65483025;2.415984275;-1.64310189;110.6043742
Klaten;1.561609155;0.057210917;-7.68567974;110.6197343
Klungkung;1.549190403;0.025786563;-8.66701522;115.4936805
Kolaka;5.453406728;0.24095569;-4.07479479;121.5220127
Kolaka Timur;4.787539981;0.322347105;-3.78952672;121.6049934
Kolaka Utara;3.989130664;0.239412292;-3.26140873;121.1340202
Konawe;7.178633552;0.436602899;-3.52740028;121.8636447
Konawe Kepulauan;1.171360482;0.057476818;-4.11459153;123.0962509
Konawe Selatan;5.68691542;0.349286781;-4.26334971;122.4175756
Konawe Utara;6.147907217;0.341104916;-3.39270964;122.0307634
Kota Administrasi Jakarta Barat;0.616076612;0.010239449;-6.16533147;106.7483226
Kota Administrasi Jakarta Pusat;0.37639818;0.003916214;-6.18120112;106.8351243
Kota Administrasi Jakarta Selatan;0.84856804;0.011819845;-6.2725674;106.810043
Kota Administrasi Jakarta Timur;1.040270987;0.015122231;-6.25496969;106.9006892
Kota Administrasi Jakarta Utara;1.448506252;0.011784131;-6.12797365;106.8656206
Kota Ambon;1.333168925;0.01927865;-3.68532042;128.1950141
Kota Balikpapan;1.186742066;0.041434652;-1.15669086;116.8722412
Kota Banda Aceh;0.576373403;0.004495576;5.5580959;95.32771854
Kota Bandar Lampung;1.03151879;0.014744457;-5.4141269;105.2639852
Kota Bandung;0.817536796;0.013630918;-6.91924396;107.6366007
Kota Banjar;0.710396292;0.010595191;-7.3767862;108.5675533
Kota Banjarbaru;0.957332574;0.027190752;-3.47658907;114.7948481
Kota Banjarmasin;0.509215195;0.008004981;-3.32912257;114.5917985
Kota Batam;13.94629843;0.083954601;0.96286048;104.0636443
Kota Batu;0.693471336;0.015920067;-7.83468124;112.5337524
Kota Bau Bau;0.95230433;0.023579103;-5.43004039;122.6751227
Kota Bekasi;1.257078406;0.017408973;-6.28084116;106.9753649
Kota Bengkulu;0.92007448;0.012239766;-3.84061499;102.3080638
Kota Bima;0.897964323;0.016998285;-8.45467441;118.7816862
Kota Binjai;0.638747197;0.007660671;3.60017587;98.48892572
Kota Bitung;2.081462628;0.026691725;1.48987748;125.1581983
Kota Blitar;0.350869208;0.002751128;-8.09491243;112.1668232
Kota Bogor;0.708177474;0.009106085;-6.59349435;106.7993574
Kota Bontang;1.661546028;0.01290904;0.09272302;117.4583747
Kota Bukittinggi;0.253808556;0.001914076;-0.30007896;100.3725867
Kota Cilegon;1.229248736;0.013257254;-5.9990672;106.0184749
Kota Cimahi;0.403181468;0.003471485;-6.88631933;107.5428955
Kota Cirebon;0.489370532;0.003225737;-6.74171299;108.5532816
Kota Denpasar;0.733693662;0.010352821;-8.66820583;115.2206775
Kota Depok;1.111355781;0.016377678;-6.39622984;106.8168354
Kota Dumai;2.450568798;0.164517433;1.75756576;101.3405893
Kota Gorontalo;0.46432784;0.005766099;0.53841513;123.0553334
Kota Gunungsitoli;1.171157147;0.02276887;1.27064109;97.58732842
Kota Jambi;0.638287907;0.01386156;-1.61830541;103.5998754
Kota Jayapura;2.364180782;0.066215429;-2.66272581;140.797196
Kota Kediri;0.490562878;0.005457077;-7.82614867;112.0156247
Kota Kendari;1.133488936;0.021920222;-3.99899942;122.534271
Kota Kotamobagu;0.501568227;0.008846967;0.71107861;124.3183083
