site;province;city;district;village
Taman Gurun Panjang Barat;Sumatera Barat;Pesisir Selatan;Bayang;Gurun Panjang Barat
Taman Gurun Panjang Selatan;Sumatera Barat;Pesisir Selatan;Bayang;Gurun Panjang Selatan
Taman Gurun Panjang Utara;Sumatera Barat;Pesisir Selatan;Bayang;Gurun Panjang Utara
Taman Habincaran;Sumatera Utara;Mandailing Natal;Ulu Pungkut;Habincaran
Taman Hadangkahan;Sumatera Utara;Mandailing Natal;Batang Natal;Hadangkahan
Taman Hadungdung;Sumatera Utara;Padang Lawas Utara;Portibi;Hadungdung
Taman Hadungdung Aek Rampah;Sumatera Utara;Padang Lawas;Aek Nabara Barumun;Hadungdung Aek Rampah
Taman Hadungdung Pintu Padang;Sumatera Utara;Padang Lawas;Aek Nabara Barumun;Hadungdung Pintu Padang
Taman Hajoran;Sumatera Utara;Tapanuli Tengah;Pandan;Hajoran
Taman Hajoran;Sumatera Utara;Padang Lawas Utara;Padang Bolak;Hajoran
Taman Hajoran;Sumatera Utara;Labuhanbatu Selatan;Sungai Kanan;Hajoran
Taman Hajoran Indah;Sumatera Utara;Tapanuli Tengah;Pandan;Hajoran Indah
Taman Halaban;Sumatera Barat;Lima Puluh Kota;Lareh Sago Halaban;Halaban
Taman Halamona;Sumatera Utara;Nias Barat;Sirombu;Halamona
Taman Hale Baluta;Sumatera Utara;Nias Selatan;Tanah Masa;Hale Baluta
Taman Haliadulo;Sumatera Utara;Nias Barat;Lahomi;Haliadulo
Taman Halifadolo;Sumatera Utara;Nias Barat;Moro O;Halifadolo
Taman Halomona;Sumatera Utara;Nias Barat;Sirombu;Halomona
Taman Halongonan;Sumatera Utara;Padang Lawas Utara;Halongonan;Halongonan
Taman Hambawa;Sumatera Utara;Kota Gunungsitoli;Gunungsitoli Utara;Hambawa
Taman Hambawa;Sumatera Utara;Kota Gunungsitoli;Gunungsitoli Utara;Hambawa
Taman Hambiri;Sumatera Utara;Padang Lawas Utara;Padang Bolak;Hambiri
Taman Hambulo;Sumatera Utara;Padang Lawas Utara;Halongonan;Hambulo
Taman Handang Kopo;Sumatera Utara;Padang Lawas;Ulu Barumun;Handang Kopo
Taman Handel;Sumatera Utara;Mandailing Natal;Puncak Sorik Marapi;Handel
Taman Handio;Sumatera Utara;Padang Lawas;Sosa;Handio
Taman Handis Julu;Sumatera Utara;Padang Lawas;Barumun;Handis Julu
Taman Hangtuah;Riau;Kampar;Perhentian Raja;Hangtuah
Taman Hanofa;Sumatera Utara;Nias Barat;Sirombu;Hanofa
Taman Hanofa;Sumatera Utara;Nias Barat;Sirombu;Hanofa
Taman Hanofa;Sumatera Utara;Nias Barat;Sirombu;Hanofa
Taman Hapesong Baru;Sumatera Utara;Tapanuli Selatan;Batang Toru;Hapesong Baru
Taman Hapesong Lama;Sumatera Utara;Tapanuli Selatan;Batang Toru;Hapesong Lama
Taman Hapung;Sumatera Utara;Padang Lawas;Sosa;Hapung
Taman Hapung Torop;Sumatera Utara;Padang Lawas;Sosa;Hapung Torop
Taman Harang Jae;Sumatera Utara;Padang Lawas;Sosa;Harang Jae
Taman Harang Julu;Sumatera Utara;Padang Lawas;Sosa;Harang Julu
Taman Harapan;Riau;Siak;Sungai Apit;Harapan
Taman Harapan Baru;Riau;Bengkalis;Mandau;Harapan Baru
Taman Harapan Jaya;Riau;Pelalawan;Pangkalan Kuras;Harapan Jaya
Taman Harapan Jaya;Riau;Rokan Hilir;Rimba Melintang;Harapan Jaya
Taman Harapan Makmur;Riau;Indragiri Hilir;Gaung Anak Serka;Harapan Makmur
Taman Harapan Makmur;Riau;Rokan Hilir;Bagan Sinembah Raya;Harapan Makmur
Taman Harapan Makmur Selatan;Riau;Rokan Hilir;Bagan Sinembah Raya;Harapan Makmur Selatan
Taman Harapan Tani;Riau;Indragiri Hilir;Kempas;Harapan Tani
Taman Harau;Sumatera Barat;Lima Puluh Kota;Harau;Harau
Taman Harean;Sumatera Utara;Tapanuli Selatan;Tano Tombangan Angkola;Harean
Taman Harefa;Sumatera Utara;Nias Utara;Tugala Oyo;Harefa
Taman Harefa Orahua;Sumatera Utara;Nias Selatan;Idanotae;Harefa Orahua
Taman Harefanaese;Sumatera Utara;Nias Utara;Alasa Talumuzoi;Harefanaese
Taman Harenoro;Sumatera Utara;Nias Selatan;Lahusa;Harenoro
Taman Harewakhe;Sumatera Utara;Nias Utara;Afulu;Harewakhe
Taman Hasahatan;Sumatera Utara;Padang Lawas Utara;Halongonan;Hasahatan
Taman Hasahatan Jae;Sumatera Utara;Padang Lawas;Barumun;Hasahatan Jae
Taman Hasahatan Julu;Sumatera Utara;Padang Lawas;Barumun;Hasahatan Julu
Taman Hasambi;Sumatera Utara;Padang Lawas Utara;Padang Bolak Julu;Hasambi
Taman Hasang Marsada;Sumatera Utara;Tapanuli Selatan;Sipirok;Hasang Marsada
Taman Hatongga;Sumatera Utara;Padang Lawas;Batang Lubu Sutam;Hatongga
Taman Hatupangan;Sumatera Utara;Mandailing Natal;Batang Natal;Hatupangan
Taman Haunatas;Sumatera Utara;Tapanuli Selatan;Marancar;Haunatas
Taman Hayo;Sumatera Utara;Nias Selatan;Pulau-Pulau Batu Barat;Hayo
Taman Hayo;Sumatera Utara;Nias Barat;Mandrehe;Hayo
Taman Hayuraja;Sumatera Utara;Mandailing Natal;Panyabungan Selatan;Hayuraja
Taman Helefanikha;Sumatera Utara;Nias Selatan;Onohazumba;Helefanikha
Taman Helefanikha;Sumatera Utara;Kota Gunungsitoli;Gunungsitoli Idanoi;Helefanikha
Taman Heliweto Gido;Sumatera Utara;Nias;Gido;Heliweto Gido
Taman Hiambanua;Sumatera Utara;Nias Barat;Mandrehe Utara;Hiambanua
Taman Hibrida Jaya;Riau;Indragiri Hilir;Teluk Belengkong;Hibrida Jaya
Taman Hibrida Mulia;Riau;Indragiri Hilir;Teluk Belengkong;Hibrida Mulia
Taman Hidayah;Riau;Indragiri Hilir;Pelangiran;Hidayah
Taman Hidup Baru;Riau;Kampar;Kampar Kiri Tengah;Hidup Baru
Taman Hili'Adulo;Sumatera Utara;Nias;Idanogawo;Hili'Adulo
Taman Hili'Alawa;Sumatera Utara;Nias Selatan;Toma;Hili'Alawa
Taman Hiliabolata;Sumatera Utara;Nias Selatan;Lahusa;Hiliabolata
Taman Hiliadolowa;Sumatera Utara;Nias Selatan;Aramo;Hiliadolowa
Taman Hiliadulo;Sumatera Utara;Nias Selatan;Hilimegai;Hiliadulo
Taman Hiliadulo;Sumatera Utara;Nias Selatan;Hilisalawa'Ahe;Hiliadulo
Taman Hiliadulosoi;Sumatera Utara;Nias Selatan;Susua;Hiliadulosoi
Taman Hilialawa;Sumatera Utara;Nias;Bawolato;Hilialawa
Taman Hilialawa;Sumatera Utara;Nias;Bawolato;Hilialawa
Taman Hilialawa;Sumatera Utara;Nias;Bawolato;Hilialawa
Taman Hilialawa;Sumatera Utara;Nias Selatan;Somambawa;Hilialawa
Taman Hilialito Saua;Sumatera Utara;Nias Selatan;Onolalu;Hilialito Saua
Taman Hilialito Saua;Sumatera Utara;Nias Selatan;Onolalu;Hilialito Saua
Taman Hilialo'Oa;Sumatera Utara;Nias Selatan;Ulu Idanotae;Hilialo'Oa
Taman Hiliamaetaluo;Sumatera Utara;Nias Selatan;Toma;Hiliamaetaluo
Taman Hiliamaetaniha;Sumatera Utara;Nias Selatan;Luahagundre Maniamolo;Hiliamaetaniha
Taman Hiliamaodula;Sumatera Utara;Nias Selatan;Pulau-Pulau Batu;Hiliamaodula
Taman Hiliamauzula;Sumatera Utara;Nias Selatan;Aramo;Hiliamauzula
Taman Hiliamuri;Sumatera Utara;Nias Selatan;Teluk Dalam;Hiliamuri
Taman Hiliana'A;Sumatera Utara;Nias Selatan;Teluk Dalam;Hiliana'A
Taman Hiliana'A Gomo;Sumatera Utara;Nias Selatan;Gomo;Hiliana'A Gomo
Taman Hiliana'A Susua;Sumatera Utara;Nias Selatan;Susua;Hiliana'A Susua
Taman Hilianombasela;Sumatera Utara;Nias Selatan;Hibala;Hilianombasela
Taman Hiliasi;Sumatera Utara;Nias Selatan;Toma;Hiliasi
Taman Hiliaurifa Hilisimaetano;Sumatera Utara;Nias Selatan;Maniamolo;Hiliaurifa Hilisimaetano
Taman Hilibadalu;Sumatera Utara;Nias;Ulugawo;Hilibadalu
Taman Hilibadalu;Sumatera Utara;Nias;Sogae'Adu;Hilibadalu
Taman Hilibadalu;Sumatera Utara;Nias Selatan;Umbunasi;Hilibadalu
Taman Hilibadalu;Sumatera Utara;Nias Barat;Ulu Moro O;Hilibadalu
Taman Hilibanua;Sumatera Utara;Nias Utara;Namohalu Esiwa;Hilibanua
Taman Hiliborodano;Sumatera Utara;Nias;Somolo-Molo;Hiliborodano
Taman Hilidanayao;Sumatera Utara;Nias Selatan;Susua;Hilidanayao
Taman Hilidohona;Sumatera Utara;Nias Selatan;Sidua'Ori;Hilidohona
Taman Hiliduho;Sumatera Utara;Nias;Hiliduho;Hiliduho
Taman Hilidundra;Sumatera Utara;Nias Utara;Lotu;Hilidundra
Taman Hiliduruwa;Sumatera Utara;Nias Utara;Sawo;Hiliduruwa
Taman Hilifadolo;Sumatera Utara;Nias Selatan;Amandraya;Hilifadolo
Taman Hilifadolo;Sumatera Utara;Nias Selatan;Lolowau;Hilifadolo
Taman Hilifadolo;Sumatera Utara;Nias Selatan;Lolowau;Hilifadolo
Taman Hilifadolo;Sumatera Utara;Nias Selatan;Lolowau;Hilifadolo
Taman Hilifadolo;Sumatera Utara;Nias Selatan;Aramo;Hilifadolo
Taman Hilifakhe;Sumatera Utara;Nias Selatan;Ulunoyo;Hilifakhe
Taman Hilifalago;Sumatera Utara;Nias Selatan;Onolalu;Hilifalago
Taman Hilifalago Raya;Sumatera Utara;Nias Selatan;Onolalu;Hilifalago Raya
Taman Hilifalawu;Sumatera Utara;Nias Selatan;Maniamolo;Hilifalawu
Taman Hilifalawu;Sumatera Utara;Nias Selatan;Huruna;Hilifalawu
Taman Hilifalawu;Sumatera Utara;Nias Selatan;Huruna;Hilifalawu
Taman Hilifaondrato;Sumatera Utara;Nias Selatan;Lolomatua;Hilifaondrato
Taman Hilifaosi;Sumatera Utara;Nias;Bawolato;Hilifaosi
Taman Hilifarokha Lawa;Sumatera Utara;Nias Selatan;Fanayama;Hilifarokha Lawa
Taman Hilifarono;Sumatera Utara;Nias Selatan;Onolalu;Hilifarono
Taman Hilifondege Hilizoroilawa;Sumatera Utara;Nias Selatan;Mazino;Hilifondege Hilizoroilawa
Taman Hiligabungan;Sumatera Utara;Nias Selatan;Idanotae;Hiligabungan
Taman Hiligafoa;Sumatera Utara;Nias;Ulugawo;Hiligafoa
Taman Hiligafoa;Sumatera Utara;Nias Selatan;Aramo;Hiligafoa
Taman Hiligambukha;Sumatera Utara;Nias Selatan;Lahusa;Hiligambukha
Taman Hiliganoita;Sumatera Utara;Nias;Bawolato;Hiliganoita
Taman Hiliganowo;Sumatera Utara;Nias Selatan;Teluk Dalam;Hiliganowo
Taman Hiliganowo Salo'O;Sumatera Utara;Nias Selatan;Teluk Dalam;Hiliganowo Salo'O
Taman Hiliganowo Salo'O;Sumatera Utara;Nias Selatan;Teluk Dalam;Hiliganowo Salo'O
Taman Hiligara;Sumatera Utara;Kota Gunungsitoli;Gunungsitoli Selatan;Hiligara
Taman Hiligawolo;Sumatera Utara;Nias Utara;Lahewa;Hiligawolo
Taman Hiligawoni;Sumatera Utara;Nias Utara;Alasa;Hiligawoni
Taman Hiligeho;Sumatera Utara;Nias Selatan;Teluk Dalam;Hiligeho
Taman Hiligeho;Sumatera Utara;Nias Selatan;Teluk Dalam;Hiligeho
Taman Hiligeho Sogawu;Sumatera Utara;Nias Selatan;Tanah Masa;Hiligeho Sogawu
Taman Hiligeo Afia;Sumatera Utara;Nias Utara;Lotu;Hiligeo Afia
Taman Hiligito;Sumatera Utara;Nias Selatan;Fanayama;Hiligito
Taman Hiligodu;Sumatera Utara;Nias Selatan;Hilisalawa'Ahe;Hiligodu
Taman Hiligodu;Sumatera Utara;Nias Utara;Lotu;Hiligodu
Taman Hiligodu Botomuzoi;Sumatera Utara;Nias;Botomuzoi;Hiligodu Botomuzoi
Taman Hiligodu Hoya;Sumatera Utara;Nias Utara;Lahewa;Hiligodu Hoya
Taman Hiligodu Ombolata;Sumatera Utara;Kota Gunungsitoli;Gunungsitoli Selatan;Hiligodu Ombolata
Taman Hiligodu Somolo-Molo;Sumatera Utara;Nias;Somolo-Molo;Hiligodu Somolo-Molo
Taman Hiligodu Tanoseo;Sumatera Utara;Nias;Hiliduho;Hiligodu Tanoseo
Taman Hiligodu Tanoseo;Sumatera Utara;Nias;Hiliduho;Hiligodu Tanoseo
Taman Hiligodu Ulu;Sumatera Utara;Kota Gunungsitoli;Gunungsitoli Utara;Hiligodu Ulu
Taman Hiligogowaya Maliwa'A;Sumatera Utara;Nias;Idanogawo;Hiligogowaya Maliwa'A
Taman Hiligumbu;Sumatera Utara;Nias Selatan;Aramo;Hiligumbu
Taman Hilihambawa;Sumatera Utara;Kota Gunungsitoli;Gunungsitoli Idanoi;Hilihambawa
Taman Hilihambawa Botomuzoi;Sumatera Utara;Nias;Botomuzoi;Hilihambawa Botomuzoi
Taman Hilihao;Sumatera Utara;Kota Gunungsitoli;Gunungsitoli;Hilihao
Taman Hilihao Cugala;Sumatera Utara;Nias;Bawolato;Hilihao Cugala
Taman Hilihati;Sumatera Utara;Nias Utara;Lahewa;Hilihati
Taman Hilihati;Sumatera Utara;Nias Utara;Lahewa;Hilihati
Taman Hilihoru;Sumatera Utara;Nias;Bawolato;Hilihoru
Taman Hilihoru;Sumatera Utara;Nias Selatan;Amandraya;Hilihoru
Taman Hilihoru;Sumatera Utara;Nias Selatan;Amandraya;Hilihoru
Taman Hilikana;Sumatera Utara;Nias Selatan;Hibala;Hilikana
Taman Hilikara;Sumatera Utara;Nias Selatan;Lolowau;Hilikara
Taman Hilikara;Sumatera Utara;Nias Selatan;Onolalu;Hilikara
Taman Hilikara Maha;Sumatera Utara;Nias Selatan;Fanayama;Hilikara Maha
Taman Hililaora;Sumatera Utara;Nias Selatan;Sidua'Ori;Hililaora
Taman Hililawae;Sumatera Utara;Nias;Idanogawo;Hililawae
Taman Hililaza;Sumatera Utara;Nias Selatan;Teluk Dalam;Hililaza
Taman Hililaza Hilinawalo Mazino;Sumatera Utara;Nias Selatan;Mazino;Hililaza Hilinawalo Mazino
Taman Hilimaenamolo;Sumatera Utara;Nias Selatan;Luahagundre Maniamolo;Hilimaenamolo
Taman Hilimaera;Sumatera Utara;Nias Selatan;Amandraya;Hilimaera
Taman Hilimaera;Sumatera Utara;Nias Selatan;Ulunoyo;Hilimaera
Taman Hilimagari;Sumatera Utara;Nias Selatan;Toma;Hilimagari
Taman Hilimagiao;Sumatera Utara;Nias Selatan;Aramo;Hilimagiao
Taman Hilimanawa;Sumatera Utara;Nias Selatan;Huruna;Hilimanawa
Taman Hilimaufa;Sumatera Utara;Nias Selatan;Mazo;Hilimaufa
Taman Hilimayo;Sumatera Utara;Nias Barat;Mandrehe Utara;Hilimayo
Taman Hilimbana;Sumatera Utara;Nias;Sogae'Adu;Hilimbana
Taman Hilimbana;Sumatera Utara;Nias;Sogae'Adu;Hilimbana
Taman Hilimbaruzo;Sumatera Utara;Nias Selatan;Mazo;Hilimbaruzo
Taman Hilimbaruzo;Sumatera Utara;Nias Barat;Mandrehe Utara;Hilimbaruzo
Taman Hilimbaruzo;Sumatera Utara;Kota Gunungsitoli;Gunungsitoli;Hilimbaruzo
Taman Hilimbawodesolo;Sumatera Utara;Kota Gunungsitoli;Gunungsitoli Idanoi;Hilimbawodesolo
Taman Hilimberuanaa;Sumatera Utara;Nias Barat;Sirombu;Hilimberuanaa
Taman Hilimboe;Sumatera Utara;Nias Selatan;Susua;Hilimboe
Taman Hilimboho;Sumatera Utara;Nias Selatan;Susua;Hilimboho
Taman Hilimbosi;Sumatera Utara;Nias Utara;Sitolu Ori;Hilimbosi
Taman Hilimbowo;Sumatera Utara;Nias;Ulugawo;Hilimbowo
Taman Hilimbowo;Sumatera Utara;Nias Selatan;Amandraya;Hilimbowo
Taman Hilimbowo;Sumatera Utara;Nias Selatan;Amandraya;Hilimbowo
Taman Hilimbowo;Sumatera Utara;Nias Selatan;Aramo;Hilimbowo
Taman Hilimbowo;Sumatera Utara;Nias Selatan;O'O'U;Hilimbowo
Taman Hilimbowo;Sumatera Utara;Nias Barat;Mandrehe Utara;Hilimbowo
Taman Hilimbowo Botomuzoi;Sumatera Utara;Nias;Botomuzoi;Hilimbowo Botomuzoi
Taman Hilimbowo Botomuzoi;Sumatera Utara;Nias;Botomuzoi;Hilimbowo Botomuzoi
Taman Hilimbowo Botomuzoi;Sumatera Utara;Nias;Botomuzoi;Hilimbowo Botomuzoi
Taman Hilimbowo Idanoi;Sumatera Utara;Kota Gunungsitoli;Gunungsitoli Idanoi;Hilimbowo Idanoi
Taman Hilimbowo Idanotae;Sumatera Utara;Nias Selatan;Idanotae;Hilimbowo Idanotae
Taman Hilimbowo Kare;Sumatera Utara;Nias Utara;Alasa Talumuzoi;Hilimbowo Kare
Taman Hilimbowo Mau;Sumatera Utara;Nias Barat;Lolofitu Moi;Hilimbowo Mau
Taman Hilimbowo Olora;Sumatera Utara;Kota Gunungsitoli;Gunungsitoli Utara;Hilimbowo Olora
Taman Hilimbowo Olora;Sumatera Utara;Kota Gunungsitoli;Gunungsitoli Utara;Hilimbowo Olora
Taman Hilimbowo Siwalawa;Sumatera Utara;Nias Selatan;Lolowau;Hilimbowo Siwalawa
Taman Hilimbuasi;Sumatera Utara;Nias Selatan;O'O'U;Hilimbuasi
Taman Hilimbuasi;Sumatera Utara;Nias Barat;Lolofitu Moi;Hilimbuasi
Taman Hilimbuasi;Sumatera Utara;Nias Barat;Lolofitu Moi;Hilimbuasi
Taman Hilimbulawa;Sumatera Utara;Nias Selatan;Amandraya;Hilimbulawa
Taman Hilimezaya;Sumatera Utara;Nias Selatan;Aramo;Hilimezaya
Taman Hilimoasio;Sumatera Utara;Nias;Idanogawo;Hilimoasio
Taman Hilimoasio Dua;Sumatera Utara;Nias;Idanogawo;Hilimoasio Dua
Taman Hilimondregeraya;Sumatera Utara;Nias Selatan;Onolalu;Hilimondregeraya
Taman Hilina'A;Sumatera Utara;Nias Utara;Alasa Talumuzoi;Hilina'A
Taman Hilina'A;Sumatera Utara;Nias Utara;Lahewa;Hilina'A
Taman Hilina'A;Sumatera Utara;Kota Gunungsitoli;Gunungsitoli;Hilina'A
Taman Hilina'A Tafuo;Sumatera Utara;Nias;Idanogawo;Hilina'A Tafuo
Taman Hilinakhe;Sumatera Utara;Kota Gunungsitoli;Gunungsitoli Barat;Hilinakhe
Taman Hilinamazihono;Sumatera Utara;Nias Selatan;O'O'U;Hilinamazihono
Taman Hilinamazihono Moale;Sumatera Utara;Nias Selatan;O'O'U;Hilinamazihono Moale
Taman Hilinamazihono Moale;Sumatera Utara;Nias Selatan;O'O'U;Hilinamazihono Moale
Taman Hilinamazihono Moale;Sumatera Utara;Nias Selatan;O'O'U;Hilinamazihono Moale
Taman Hilinamoniha;Sumatera Utara;Nias Selatan;Toma;Hilinamoniha
Taman Hilinamozaua;Sumatera Utara;Nias Selatan;Onolalu;Hilinamozaua
Taman Hilinamozaua Raya;Sumatera Utara;Nias Selatan;Onolalu;Hilinamozaua Raya
Taman Hilinawalo Balaekha;Sumatera Utara;Nias Selatan;Lahusa;Hilinawalo Balaekha
Taman Hilinawalo Fau;Sumatera Utara;Nias Selatan;Fanayama;Hilinawalo Fau
Taman Hilinawalo Mazino;Sumatera Utara;Nias Selatan;Mazino;Hilinawalo Mazino
Taman Hilindraso;Sumatera Utara;Nias Selatan;Amandraya;Hilindraso
Taman Hilindraso Raya;Sumatera Utara;Nias Selatan;Toma;Hilindraso Raya
Taman Hilindrasoniha;Sumatera Utara;Nias Selatan;Toma;Hilindrasoniha
Taman Hilinifaese;Sumatera Utara;Nias Selatan;Hibala;Hilinifaese
Taman Hilinifaoso;Sumatera Utara;Nias Selatan;Ulususua;Hilinifaoso
Taman Hiliofonaluo;Sumatera Utara;Nias Selatan;Fanayama;Hiliofonaluo
Taman Hiliomasio;Sumatera Utara;Nias Selatan;Tanah Masa;Hiliomasio
Taman Hilionaha;Sumatera Utara;Nias Selatan;Onolalu;Hilionaha
Taman Hiliono Zega;Sumatera Utara;Nias;Idanogawo;Hiliono Zega
Taman Hiliorahua;Sumatera Utara;Nias Selatan;Susua;Hiliorahua
Taman Hiliorahua Tasua;Sumatera Utara;Nias Selatan;Somambawa;Hiliorahua Tasua
Taman Hiliorodua Tebolo;Sumatera Utara;Nias Selatan;Hibala;Hiliorodua Tebolo
Taman Hilioromao;Sumatera Utara;Nias Selatan;Hibala;Hilioromao
Taman Hiliorudua;Sumatera Utara;Nias Selatan;Lahusa;Hiliorudua
Taman Hiliorudua;Sumatera Utara;Nias Selatan;Susua;Hiliorudua
Taman Hiliorudua;Sumatera Utara;Nias Selatan;Aramo;Hiliorudua
Taman Hiliorudua;Sumatera Utara;Nias Selatan;O'O'U;Hiliorudua
Taman Hiliotalua;Sumatera Utara;Nias Selatan;Pulau-Pulau Batu;Hiliotalua
Taman Hiliotalua;Sumatera Utara;Nias;Gido;Hiliotalua
Taman Hiliotalua;Sumatera Utara;Nias;Gido;Hiliotalua
Taman Hiliotalua;Sumatera Utara;Nias;Gido;Hiliotalua
Taman Hiliotalua;Sumatera Utara;Nias Selatan;Lolomatua;Hiliotalua
Taman Hilisalawa;Sumatera Utara;Nias Selatan;Fanayama;Hilisalawa
Taman Hilisalo'O;Sumatera Utara;Nias Selatan;Amandraya;Hilisalo'O
Taman Hilisalo'O;Sumatera Utara;Nias Selatan;Amandraya;Hilisalo'O
Taman Hilisalo'O;Sumatera Utara;Nias Selatan;Idanotae;Hilisalo'O
Taman Hilisalo'O;Sumatera Utara;Nias Utara;Sitolu Ori;Hilisalo'O
Taman Hilisanekhehosi;Sumatera Utara;Nias Selatan;Onolalu;Hilisanekhehosi
Taman Hilisangawola;Sumatera Utara;Nias Barat;Ulu Moro O;Hilisangawola
Taman Hilisangowola;Sumatera Utara;Nias Selatan;Lolomatua;Hilisangowola
Taman Hilisao'Oto;Sumatera Utara;Nias Selatan;Sidua'Ori;Hilisao'Oto
Taman Hilisao'Otoniha;Sumatera Utara;Nias Selatan;Teluk Dalam;Hilisao'Otoniha
Taman Hilisataro;Sumatera Utara;Nias Selatan;Toma;Hilisataro
Taman Hilisataro;Sumatera Utara;Nias Selatan;Toma;Hilisataro
Taman Hilisataro Eho Sofayo;Sumatera Utara;Nias Selatan;Toma;Hilisataro Eho Sofayo
Taman Hilisataro Gewa;Sumatera Utara;Nias Selatan;Toma;Hilisataro Gewa
Taman Hilisataro Nandisa;Sumatera Utara;Nias Selatan;Toma;Hilisataro Nandisa
Taman Hilisataro Raya;Sumatera Utara;Nias Selatan;Toma;Hilisataro Raya
Taman Hilisawato;Sumatera Utara;Nias Selatan;Aramo;Hilisawato
Taman Hilisebua;Sumatera Utara;Nias;Gido;Hilisebua
Taman Hilisebua Siwalubanua;Sumatera Utara;Nias Utara;Alasa;Hilisebua Siwalubanua
Taman Hiliserangkai;Sumatera Utara;Nias Selatan;Idanotae;Hiliserangkai
Taman Hilisibohou;Sumatera Utara;Nias Selatan;Susua;Hilisibohou
Taman Hilisimaetano;Sumatera Utara;Nias Selatan;Maniamolo;Hilisimaetano
Taman Hilisimaetano Balaekha;Sumatera Utara;Nias Selatan;Lahusa;Hilisimaetano Balaekha
Taman Hilisondrekha;Sumatera Utara;Nias Selatan;Teluk Dalam;Hilisondrekha
Taman Hilisoromi;Sumatera Utara;Nias Selatan;Toma;Hilisoromi
Taman Hilisoromi;Sumatera Utara;Nias Barat;Moro O;Hilisoromi
Taman Hilisoromi;Sumatera Utara;Nias Barat;Moro O;Hilisoromi
Taman Hilitobara;Sumatera Utara;Nias Selatan;Teluk Dalam;Hilitobara
Taman Hilitobara Susua;Sumatera Utara;Nias Selatan;Susua;Hilitobara Susua
Taman Hilitoese;Sumatera Utara;Nias Selatan;Hilimegai;Hilitoese
Taman Hilitotao;Sumatera Utara;Nias Selatan;Aramo;Hilitotao
Taman Hiliuso;Sumatera Utara;Nias Selatan;Umbunasi;Hiliuso
Taman Hiliuso;Sumatera Utara;Nias Selatan;Huruna;Hiliuso
Taman Hiliuso;Sumatera Utara;Nias Barat;Lolofitu Moi;Hiliuso
Taman Hiliwaebu;Sumatera Utara;Nias Selatan;Susua;Hiliwaebu
Taman Hiliwaebu;Sumatera Utara;Nias Selatan;Ulunoyo;Hiliwaebu
Taman Hiliwaele;Sumatera Utara;Nias Barat;Moro O;Hiliwaele
Taman Hiliwaele I;Sumatera Utara;Nias;Botomuzoi;Hiliwaele I
Taman Hiliwaele Ii;Sumatera Utara;Nias;Botomuzoi;Hiliwaele Ii
Taman Hiliwaloo I;Sumatera Utara;Nias Barat;Mandrehe;Hiliwaloo I
Taman Hiliwaloo Ii;Sumatera Utara;Nias Barat;Moro O;Hiliwaloo Ii
Taman Hiliwarokha;Sumatera Utara;Nias;Bawolato;Hiliwarokha
Taman Hiliwatema;Sumatera Utara;Nias Selatan;Lahusa;Hiliwatema
Taman Hiliweto;Sumatera Utara;Nias Selatan;Onohazumba;Hiliweto
Taman Hiliweto;Sumatera Utara;Nias Selatan;Onohazumba;Hiliweto
Taman Hiliweto Idanoi;Sumatera Utara;Kota Gunungsitoli;Gunungsitoli Idanoi;Hiliweto Idanoi
Taman Hiliweto Idanoi;Sumatera Utara;Kota Gunungsitoli;Gunungsitoli Idanoi;Hiliweto Idanoi
Taman Hiliwetogela;Sumatera Utara;Nias;Ulugawo;Hiliwetogela
Taman Hiliwosi;Sumatera Utara;Nias Selatan;Ulususua;Hiliwosi
Taman Hilizalo'Otano;Sumatera Utara;Nias Selatan;Mazino;Hilizalo'Otano
Taman Hilizalo'Otano Laowo;Sumatera Utara;Nias Selatan;Mazino;Hilizalo'Otano Laowo
Taman Hilizalo'Otano Larono;Sumatera Utara;Nias Selatan;Mazino;Hilizalo'Otano Larono
Taman Hilizamorogotano;Sumatera Utara;Nias Selatan;Pulau-Pulau Batu Barat;Hilizamorogotano
Taman Hilizamurugo;Sumatera Utara;Nias Selatan;Susua;Hilizamurugo
Taman Hilizanuwo;Sumatera Utara;Nias Selatan;Sidua'Ori;Hilizanuwo
Taman Hilizia Lauru;Sumatera Utara;Nias;Hiliserangkai;Hilizia Lauru
Taman Hilizia Lauru;Sumatera Utara;Nias;Hiliserangkai;Hilizia Lauru
Taman Hilizihono;Sumatera Utara;Nias Selatan;Fanayama;Hilizihono
Taman Hilizoi;Sumatera Utara;Nias;Gido;Hilizoi
Taman Hilizoliga;Sumatera Utara;Nias Selatan;Huruna;Hilizoliga
Taman Hilizomboi;Sumatera Utara;Nias Selatan;Lahusa;Hilizomboi
Taman Hilizoroi Lawa;Sumatera Utara;Nias Selatan;Mazino;Hilizoroi Lawa
Taman Hilizukhu;Sumatera Utara;Nias Utara;Lahewa;Hilizukhu
Taman Hillidaura;Sumatera Utara;Nias Barat;Mandrehe Barat;Hillidaura
Taman Hinako;Sumatera Utara;Nias Barat;Sirombu;Hinako
Taman Hiteurat;Sumatera Utara;Padang Lawas Utara;Halongonan;Hiteurat
Taman Hodopa Nauli;Sumatera Utara;Tapanuli Tengah;Kolang;Hodopa Nauli
Taman Holi;Sumatera Utara;Nias;Ulugawo;Holi
Taman Holi;Sumatera Utara;Nias;Ulugawo;Holi
Taman Holi;Sumatera Utara;Nias;Ulugawo;Holi
Taman Holi;Sumatera Utara;Nias Utara;Lahewa;Holi
Taman Horuon;Sumatera Utara;Padang Lawas;Sosa;Horuon
